kode_rs,nama_rs,alamat_rs,telepon_rs
3275296,RS Umum Islam dr. Subki Abdulkadir,"Jl. R.A. Kartini No.66,Bekasi",8803386
3275307,RS Siloam Bekasi Sepanjang Jaya,Jl. Pramuka No.12 Rt.004/Rw002 Kel.Sepanjang Jaya Kec.Rawalumbu Bekasi,021-8221570
3216318,RS Umum Hermina Grand Wisata,Jl. Festival Boulevard Blok J A1 No.1 Lambang Sari Tambun Selatan Bekasi,021-82651212
3216329,RS Umum Permata Cibubur,"Jl. Alternatif Cibubur - Cileungsi No. 6A, Kec. Jati Sampurna, Bekasi",8458806
3271013,RS Umum PMI Bogor,Jl. Raya Pajajaran No. 80 Bogor,0251-8324080
3271024,RS Umum Salak,Jl. Jend Sudirman No. 8 Kota Bogor,0251-8345222
3271035,RS Umum Dr Muhamad Hassan Toto,"Jl. Sardjio No. 1, Semplak Kec. Kemang",7535976
3271046,RS Jiwa dr. H. Marzoeki Mahdi,Jl. dr. Sumeru No.114 Kota Bogor,02518324025
3271072,RS Umum Azra,"Jl. Raya Pajajaran No.219, Bogor Utara Kota Bogor",0251-8318456
3271104,RS Umum Daerah Kota Bogor,Jl. Dr. Sumeru 120 Kota Bogor,0251-8312292
3271115,RS Umum Hermina Bogor,"Jl. Ring Road I Kav. 23,25,27 Perum Taman Yasmin Bogor",0251-83282525
3271126,BMC Mayapada Hospital,"Jl. Pajajaran Indah V No.97, Bogor Timur Kota Bogor",0251-8307900
3271139,RS Umum Trimitra,"Jl. Raya Jakarta Bogor Km.43, Cibinong",8763055
3272014, RS Umum Daerah  R Syamsudin SH,Jl. Rumah Sakit No. 1 Kota Sukabumi,0266-225180
3272036,RS Umum Ridogalih,Jl. Gudang No. 24 Sukabumi,0266-221983
3272051,RS Umum Assyifa Sukabumi,Jl. Jend Sudirman No. 3 Kota Sukabumi,222663
3273015,RS Umum Pusat Dr. Hasan Sadikin,Jl. Pasteur No. 38 Bandung,022-2034953 /54
3273026,RSU Bhayangkara Tk II Sartika Asih,Jl. Moch. Toha No. 369 Bandung,022-5229544
3273030,RS Umum Lanud dr. M. Salamun,Jl. Ciumbuleuit 203 Bandung,022 2032090
3204041,RS Umum Kebonjati,Jl. Kebonjati No. 152  Kel. Kebon Jeruk Kec. Andir kota Bandung,(022) 6014058
3273052,RS Umum Immanuel Bandung,Jl. Kopo 161 Bandung,022-5201656-72
3273063,RS Umum Santo Yusup,Jl. Cikutra No. 7 Kota Bandung,7202420
3273074,RS Umum Santo Borromeus,Jl. Ir. H. Juanda  No.100 Kota Bandung,022-2552000
3273085,RS Umum Advent Bandung,Jl. Cihampelas No. 161 Bandung,022-2034386
3273096,RS Umum Pindad,Jl. Gatot Soebroto No. 517 Kota Bandung,022-7322877
3273106, RS Umum Muhammadiyah,Jl. K.H. Ahmad Dahlan No.53 Bandung,022-7301062
3273110,RS Umum Bungsu,Jl. Veteran No. 6 Bandung,4231550
3273121, RS Umum Rajawali,Jl. Rajawali No.38 Kota Bandung,6011913
3273165,RS Ibu dan Anak Limijati,Jl. LL. RE. Martadinata No.39 Kota Bandung,4207770
3273176,RS Umum Tk IV 03.07.03Sariningsih,Jl. L.L. RE. Martadinata No. 9 Kota Bandung,4204257
3273191,RS Khusus Mata Cicendo,Jl. Cicendo No.4 Bandung,022-4231280
3273201,RS Paru Dr. H. A. Rotinsulu,Jl. Bukit Jarian No. 40 Bandung,022-2034446
3273260, RS Ibu dan Anak Kota Bandung,Jl. Astanaanyar No. 224 Bandung,022-5201139
3273405, RS Umum Daerah Kota Bandung,"Jl. Rumah Sakit 22 Ujung Berung, Kota Bandung",022-7811794
3273420,RS Umum Al-Islam Bandung,Jl. Soekarno. Hatta 644 Bandung,(022)7562046
3273431, RS Khusus Bedah Halmahera Siaga,Jl. LL RE Martadinata No. 28 Kota Bandung,022-4206061
3273442,RS Umum Bina Sehat ,Jl. Raya Dayeuhkolot No.325 Bandung,022-5207963
3273453, RS Khusus Ginjal NY R.A. Habibie,Jl. Tubagus Ismail No. 46 Kota Bandung,"022-2501985, 87"
3273464,RS Khusus Gigi dan Mulut UNPAD,Jl. Sekeloa Selatan I Bandung,2533044
3273486,RS Umum Santosa Hospital Bandung Central,"Jl. Kebon Jati No.38,Bandung",022-4248333
3273517,RS Umum AMC ,"Jl. Raya Cileunyi Rancaekek, Kab. Bandung",7781630
3273528, RS Ibu dan Anak Melinda ,"Jl. Pajajaran No.46 Kel Pasirkaliki, Kec. Cicendo, Kota Bandung",022-4222788
3273539,RS Umum Hermina Pasteur ,Jl. Dr. Djundjunan No.107 Kota Bandung,(022) 6072525
3274016, RS Umum Daerah Gunung Jati,Jl. Kesambi No.56 Cirebon - 45134,0231-206330
3274020, RS Umum Tk. III Ciremai,Jl. Kesambi No. 237 Cirebon,0231-238335
3274031,RS Ibu dan Anak Panti Abdi Dharma,Jl. Pulasaren No.07 Cirebon 45114,0231-203873
3274053,RS Umum Pelabuhan Cirebon,Jl. Sisingamangaraja No.45 Cirebon 45112,0231-205657
3274064, RS Ibu dan Anak Putera Bahagia,Jl. Ciremai Raya No 114 Perumnas Cirebon,0231-485654
3274075,RS Umum Budi Luhur,Jl. Pramuka Kebon Pelok Harjamukti Cirebon,0231-483236
3274090,RS Umum Sumber Kasih,Jl. Siliwangi No.135 Cirebon,0231-203815
3274100, RS Umum Budi Asta,Jl. Kalitanjung No.51 Cirebon,0231-488211
3274111,RS Umum Muhammadiyah,Jl. Dr. Wahidin Sudirohusodo No.79 Cirebon,202463/247406
3209133,RS Umum Sumber Waras,"Jl. Urip Sumoharjo No.5 Ciwaringin, Kab. Cirebon",0231341079
3276124, RS Umum Daerah Kota Depok,Jl. Raya Muchtar No. 99 Sawangan,0251-8602514
3276135,RS Umum Simpangan Depok,"Jl. Raya Bogor Km.36,Sukamaju Sukmajaya Depok",021-8741549
3276146, RS Umum Hasanah Graha Afiah,Jl. Raden Saleh No.42 (Studio Alam TVRI) Depok,02177826267
3301014,RS Umum Daerah Cilacap,Jl. Gatot Subroto 28 Cilacap RT 04 / RW O5,0282-533010
3301036, RS Umum Pertamina Cilacap,"Jl. Dr.Setiabudi Tegal Katilayu, Cilacap",509955
3301073,RS Umum Islam Fatimah,Jl. Ir.H.Juanda No.20 Cilacap,0282-542396
3301084, RS Umum Daerah Majenang,Jl. Dr. Soetomo No. 54 Majenang,0280-621012
3301095, RS Bersalin Annisa,Jl. Gatot Subroto 31 A Cilacap,(0282)533550
3301105, RS Umum Aprilia,Jl. Jend. Gatot Subroto 95 Cilacap,(0282)536307
3302015,RSUD BANYUMAS,Jl. Rumah Sakit No.1 Banyumas,0281-796182
3302026, RS Umum Daerah Prof Dr. Margono Soekarjo Purwoker,Jl. Dr Gumbreg No. 1 Purwokerto,0281-632708
3302030, RS Umum Tk III Wijayakusuma,Jl. Prof.Dr. HR Bunyamin Purwokerto,0281-633062
3302041,RS Umum Santa Elisabeth Purwokerto,Jl. dr. Angka No. 40 Purwokerto,0281 625857
3302132,RS Umum Islam Purwokerto,Jl. H. Masyuri Rejasari No 39 Purwokerto,0281-630019
3302143,RS Umum Hidayah Purwokerto,Jl. Supriyadi No. 22 Purwokerto,(0281) 636269
3302154, RS Umum Bunda,Jl. Pramuka No. 249 Purwokerto,(0281) 635424
3302165, RS Umum Ananda Purwokerto,Jl. Pemuda No. 30 Purwokerto,0281-636417
3302180,RS Umum Sinar Kasih,Jl. Martadireja II Purwokerto,0281 638370
3302191, RS Umum Daerah Ajibarang,"Jl. Raya Pancasan No.1,Ajibarang Banyumas",0281-6570004
3302213,RS Umum Wiradadi Husada,"Jl. Menteri Supeno No. 25, Sokaraja-Banyumas",(0281)6846225
3302224,RS Umum Siaga Medika Banyumas,Jl. Pramuka No. 55 Banyumas,0281-796645
3303016, RS Umum Daerah dr. R. Goeteng Taroenadibrata,Jl. Tentara Pelajar Purbalingga No. 22,0281-891016
3303075, RS Umum Harapan Ibu,"Jl. May.Jend.Soengkono KM.1,Kec. Kalimanah, Purbalingga dan JL. Soekarno Hatta No.02 Kec. Kalimanah",0281-892277
3304010,RS Umum Daerah Hj. Anna Lasmanah Banjarnegara,Jl. Jendral Sudirman  No.42 Banjarnegara,0286-591464
3304021, RS Umum Emmanuel,Jl. Raya Purwareja Klampok - Banjarnegara,0286-479030
3305011,RS Umum Daerah dr. Soedirman Kabupaten Kebumen,"Jl. Lingkar Selatan, Muktisari Kebumen",0287-381101
3305033,RS Umum Palang Biru Gombong,Jl. Kartini no. 37 Gombong Kebumen,0287- 471290
3305066, RS Umum PKU Muhamadiyah Gombong,Jl. Yos Sudarso 461 Gombong Kebumen,0287-471780
3305081, RS Umum Wijayakusuma,"Jl. Gelatik No.1 Panjer, Kebumen",(0287) 381954
3305092,RS Umum Purbowangi,Jl. Yos Sudarso Barat No.1 Gombong,(0287) 471080
3305103,RS Umum PKU Muhammadiyah Sruweng,Jl. Raya Sruweng No.5 Sruweng Kebumen,0287-5506677
3306012,RS Umum Daerah Dr. Tjitrowardojo Purworejo,Jl. Jen Sudirman No.60 Purworejo,0275-322448
3306082,RS Umum Panti Waluyo Yakkum Purworejo,Jl. Ahmad Yani No. 21 Purworejo,0275 322 096
3306104,RS Umum Palang Biru Kutoarjo,"Jl. Marditomo No.17, Kutoarjo, Kab.Purworejo",0275-641425
3307013,RS Umum Setjonegoro Wonosobo,"Jl. Setjonegoro No.1,Wonosobo",0286-321091
3307035, RS Ibu dan Anak Adina,"Jl. Pasukan Ronggolawe No.24, Wonosobo",322468
3307050,RS Umum Islam Wonosobo,Jl. Letjen S. Parman Km.3 Wonosobo,0286-325250
3308014,RS Umum Daerah Muntilan Kab. Magelang,Jl. Kartini No.13 Muntilan,0293-587004
3309015,RS Umum Daerah Pandan Arang Boyolali,Jl. Kantil No. 14 Boyolali,0276-321065
3309041,RS Umum Dr. Oen Sawit,"Dk. Tegalarum, Ds. Kateguhan, Kec. Sawit, Kab. Boyolali",(0271) 782420
3309063,RS Umum PKU Aisyiyah Boyolali,Jl. Pasar Sapi Baru Singkil - Karanggeneng - Boyolali,(0276) 322898
3309074,RS Umum Umi Barokah,"Jl.Prof.DR.Soeharso No.6 Tegal Rejo,Boyolali",(0276)321452
3309085,RS Umum  Karanggede Sisma Medika,"Jl. Raya Karanggede - Solo KM.1, Boyolali",0298-610600
3309096, RS Umum Daerah Waras Wiris,Jl. Raya Karanggede - Gemolong Km. 13 Andong Kab.Boyolali,081575290555
3309107, RS Umum Daerah Simo,"Jl. Kebon Ijo Ds.Simo Kec.Simo, Boyolali",0276-3294719
3310015,RS Umum Pusat Dr. Soeradji Tirtonegoro,"Jl. KRT. dr. Soeradji Tirtonegoro No.1, Klaten",0272-321020
3310026,RS Jiwa Daerah Dr. RM. Soedjarwadi,"Jalan Ki Pandanaran Km. 2, Klaten",0272-321435
3310052, RS Ibu dan Anak Aisyiah,"Jl. KH. Hasyim Ashari, Mojayan, Klaten",320566
3310384,RS Umum Islam Klaten,"Jl. Raya Klaten Solo KM 4,Klaten",0272-322252
3310395,RS Umum Cakra Husada,"Jl. Merbabu No. 7,Klaten",(0272) 321123
3310405, RS Khusus Bedah Diponegoro,"Jl. Diponegoro No.21,Klaten",0272-325127
3311016,RS Umum Daerah Ir. Soekarno Kabupaten Sukoharjo,"Jl. Dr. Muwardi 71, Sukoharjo",0271-593118
3311213, RS Umum Nirmala Suri,"Jl. Raya Solo Sukoharjo Km.9, Sukoharjo",0271 - 592192
3311224,RS Umum Dr. Oen Solo Baru,Komplek Perumahan Solo Baru Kec.Grogol Sukoharjo,0271-620220
3312010, RS Umum Daerah Dr. Soediran Mangun Sumarso Wonogi,"Jl. Jend A Yani No. 40,Giriwono, Wonogiri, Jateng",0273-321008
3312273, RS Umum Marga Husada,"Jl. Letjen S.Parman No. 4 Selogiri,Wonogiri",0273321394
3312284,RS Umum Muhammadiyah Selogiri,"Jl. Lama Bulak, RT.02, RW.04 Desa Nambangan Selogiri, Wonogiri",0273322624
3312295,RS Umum Medika Mulya,"Jl. Raya Wonogiri-Ngadirojo KM.5,Wonogiri",0273-5327365
3312306,RS Umum  Amal Sehat,"Jl. Ngerjopuro RT.02/RW.03,Slogohimo Wonogiri",0273-5316677
3313011, RS Umum Daerah Karanganyar,Jl. Laksda Yos Sudarso Karanganyar,0271-495673
3313022,RS Umum Lanuma Adisumarmo,"Jl. Tentara Pelajar - Colomadu, Karanganyar",0271-780050
3313033,RS Umum PKU Muhammadiyah Karang Anyar,Jl. Raya Papahan Ds. Papahan Kec. Tasikmadu Karanganyar,0271494019
3314012,RS Umum Daerah dr. Soehadi Prijonegoro,"Jl. Raya Sukowati No.534, Sragen",0271 891068
3314023,RS Umum Mardi Lestari Sragen,"Jl. Rokan No.8,Sragen",0271-891033
3314045, RS Umum Sarila Husada,"Jl. Veteran No. 41-43,Sragen",0271-891538
3314056, RS Umum Islam Amal Sehat Sragen,"Jl. Veteran No.35, Sragen, Jawa Tengah",0271-891977
3314067,RS Umum Assalam,"Jl. Gatot Subroto KM.1,5 Kulon Palang Gemolong",0271-6811269
3315013, RS Umum Daerah Dr. R.Soedjati Soemodiardjo,"Jl. D.I Panjaitan 36,Purwodadi - Grobogan 58111",0292-421004
3315024,RS Umum Panti Rahayu,"Jl. R Suprapto No.6,Purwodadi",0292-421087
3315035, RS Umum Permata Bunda,"Jl. Hayam Wuruk No. 24, Purwodadi, Grobogan",0292-422838
3315046,RS Umum Muhammadiyah Gubug,Jl. Letjen R Soeprapto No.12 Gubug,0292 533102
3315057, RS Umum Habibullah,Jl. Raya Tahunan Kec.Gabus Kab.Grobogan,(0292)5160447
3316014,RS Umum Daerah Dr. R. Soetijono Blora,"Jl. Dr Sutomo No. 42,Blora Jawa Tengah",0296-531118
3316025,RS Umum Daerah Dr. R. Soeprapto Cepu,"Jl. Ronggolawe No. 50,Cepu",0296-421026
3316040,RS Umum Permata Blora,"Jl. Reksodiputro No.57,Blora",0296 531624
3316051,RS Umum PKU Muhammadiyah Cepu,"Jl. Ronggolawe No.137,Cepu",0296-421727
3316062,RS Umum Bantuan Blora,"Jl. Dr. Sutomo No.45, Blora",(0296) 531041
3317015, RS Umum Daerah dr. R. Soetrasno Rembang,"Jl. Pahlawan No.16,Rembang",0295-691444
3318016,RS Umum Daerah RAA Soewondo,Jl. Dr Soesanto  No. 114,0295-381102
3318064,RS Umum Islam Pati,Jl. Raya Pati-Tayu KM.18Waturoyo Margoyoso Pati,0295 452316
3318075,RS Umum Mitra Bangsa Pati,"Jl. Kol.Sugiyono No.75,Pati",382555
3318086, RS Umum Daerah Kayen Pati,Jl. Rumah Sakit No.1 Kayen Pati,(0295)4101294
3318097,RS Umum Bantuan Pati,Jl. P. Sudirman No.77 Pati,0295382684
3319010,RS Umum Daerah dr. Loekmono Hadi,"Jl. Dr. Lukmonohadi No.19,Kudus",0291-444001
3319032,RS Umum Mardi Rahayu,"Jl. AKBP R Agil 110,Kudus",0291- 434707-10
3319080, RS Umum  Islam Sunan Kudus,"Jl. Kudus Permai No.1, Kaliwungu, Kudus",0291432008
3319091,RS Ibu dan Anak Permata Hati,"Jl. Nisemito No.28,Kudus",0291-439187
3319102, RS Umum Bantuan Kudus,"Jl. Jend. Sudirman No.64, Kudus",0291-432532
3320010,RS Umum Daerah R. A. Kartini,Jl. K.H. Wahid Hasyim Jepara,0291-593286
3320021,RS Umum Daerah Kelet Provinsi Jawa Tengah,Jl. Raya Kelet KM 33 Jepara,0291-579002
3320032,RS Umum Sultan Hadlirin Jepara,"Jl. Jepara-Bangsri KM.3, Kuwasen, Jepara",(0291) 591507
3320043,RS Umum Graha Husada,"Jl. MH.Thamrin No.14,Jepara",0291592067
3321011,RS Umum Daerah Sunan Kalijaga,"Jl. Sultan Fatah No. 669/50,Demak",0291 685018
3321033,RS Umum Islam NU Demak,"Jl. Jogoloyo No.9, Kec. Wonosalam, Demak",0291685723
3322012, RS Umum Daerah Ambarawa,"Jl. Kartini No.101, Ambarawa",0298-591020
3322023, RS Umum Daerah Ungaran,"Jl. Diponegoro 125,Ungaran",024-6921006
3322071, RS Umum Bina Kasih,Jl. Naryo Atmajan 27 Ambarawa,(0298) 591280
3323013, RS Umum Daerah Djojonegoro Temanggung,Jl.GAJAHMADA 1A,0293-491119
3323024,RS Umum Ngesti Waluyo,"Jl. Pahlawan Parakan,Temanggung",0293 596008
3323046,RS Umum Gunung Sawo Kab. Temanggung,"Jl. Gatot Subroto Km. 2, Manding Temanggung",0293-4903003
3323050,RS Umum PKU Muhammadiyah Temanggung,"Jl. Raya Kedu Km.2,Temanggung",0293596704
3324014,RS Umum Daerah  Dr. H. Soewondo Kendal,"Jl. Laut No. 21, Kendal",381433
3324036,RS Umum Islam Kendal,"Jl. Ar.Rahmah No.17 Ds. Ngasinan, Weleri,Kendal",0294641870
3325015,RS Umum Daerah Kab. Batang,Jl. Dr Sutomo No. 42 Batang,0285-391033
3325026, RS Umum Bhakti Waluyo,Jl.Dr.Sutomo No. 32,(0285) 423623
3326016,RS Umum Islam PKU Muhammadiyah Pekajangan,"Jl. Raya Ambokembang No.42-44,Pekalongan",0285-785133
3326038, RS Umum Daerah Kajen Kab.Pekalongan,Jl. Raya Karangsari Karanganyar Kab. Pekalongan,0285-385231
3326049, RS Umum Daerah Bendan Kota Pekalongan,"Jl. Sriwijaya No.2,Pekalongan",0285 437222
3327010,RS Umum Daerah Dr. M Ashari Pemalang,"Jl. Gatot Subroto No.41,Pemalang",0284-321614
3327021,RS Umum Santa Maria Pemalang,"Jl. Pemuda No. 24,Pemalang",0284-321251
3327032,RS Umum Islam Moga,"Jl. Raya Moga-Pulosari km.02 ,Pemalang",(0284) 583410
3327043,RS Umum Islam Al-Ikhlas,Jl. Kolonel Soegiono NO. 13 Taman,0284-325318
3328055,RSU Islam PKU Muhammadiyah,"Jl. Singkil Km.0,5 Adiwerna, Kab.Tegal",0283-3448131
3329012,RS Umum Daerah Brebes,"Jl. Jend.Sudirman No.181, Brebes",0283-671431
3329045,RS Umum Siti Asiyah,"Jl. Pasar Wage, Bumiayu, Brebes",0289-432352
3329056,RS Umum Muhammadiyah Siti Aminah,Jl. P. Diponegoro Desa Jatisawit Kecamatan Bumiayu Kabupaten Brebes,(0289)432209
3329067, RS Umum Dedy Jaya,"Jl. Ahmad Yani No.57,Brebes",0283-672145
3329078,RS Umum Bhakti Asih,"Jl. P. Diponegoro No.125, Pesantunan Brebes",0283-673481
3371014,RS Umum Daerah Tidar,"Jl. Tidar No.30 A, Magelang",0293-362260
3371025, RS Umum Tk II Dr. Soedjono,"Jl. Urip Sumoharjo 48, Magelang",0293-362813
3371040,RS Jiwa Prof. Dr. Soerojo,Jl. Jenderal Ahmad Yani 169 Magelang,0293-363601
3371084, RS Umum Lestari Raharja,"Jl. Sutopo No.5,Magelang",0293-362225
3371105, RS Ibu dan Anak Gladiool,"Jl. Kenanga No.4-6,Magelang",0293 362702
3371131,RS Umum Harapan,"Jl. Senopati No.11,Magelang",364033
3371142,RS Umum Islam Magelang,"Jl. Jeruk No.4 A , Sanden, Kota Magelang",(0293) 368950
3372015,RS Umum Daerah Dr. Moewardi Surakarta,"Jl. Kol Sutarto 132,Surakarta",0271-634634
3372026,RS Umum Dr. Oen,"Jl. Brigjend Katamso 55,Surakarta",0271-643139
3372030, RS Umum Tk IV Slamet Riyadi Surakarta,"Jl. Slamet Riyadi 321,Surakarta",0271-714656
3372041,RS Umum Brayat Minulya,Jl. Dr. Setiabudi No. 106 Surakarta,0271-716646
3372052,RS Jiwa Daerah Surakarta,"Jl. K.H. Dewantoro 80, Jebres, Surakarta",0271-641442
3372063,RS Orthopedi Prof. Dr. R. Soeharso,"Jl. Jenderal Ahmad Yani Pabelan, Surakarta 57162",0271-714458
3372074, RS Umum Panti Waluyo,Jl. Jend A Yani No.1,0271-712077
3372096,RS Umum PKU Muhammadiyah Surakarta,"Jl. Ronggowarsito 130, Surakarta",0271-714578
3372132,RS Umum Islam Kustati,Jl. Kapt. Mulyadi No.249,0271-643013
3372165, RS Umum Kasih Ibu,"Jl. Slamet Riyadi 404,Surakarta",0271714422
3372191,RS Umum Triharsi,"Jl. Monginsidi No.82,Surakarta",0271-656903
3372234, RS Umum Daerah Kota Surakarta,"Jln. Lettu Sumarto No. 1 Kelurahan Kadipiro, Kecamatan Banjarsari, Kota Surakarta",0271-715300
3373016,RS Umum Daerah Salatiga,"Jl. Osamaliki No.19,Salatiga",0298-324074
3373020,RS Umum Tk. IV 04.07.03 dr. Asmir,Jl. Dr Muwardi No. 50 Salatiga,(0298)326045
3373042,RS Paru Dr. Ario Wirawan,"Jl. Hasanudin No.806,Salatiga",0298-326130
3373090,RS Umum Puri Asih,"Jl. Sudirman No.169,Salatiga",0298-323209
3374010,RS Umum Pusat Dr. Kariadi,"Jl. Dr. Soetomo No.16,Semarang",024-8413993
3374021,RS Umum St. Elisabeth Semarang,"Jl. Kawi No.1,Semarang",024-8310076
3374032,RS Umum William Booth,"Jl. LetJen. S. Parman No. 5, Semarang",024-8411800
3374043,RS Umum Telogorejo Semarang,Jl. KH. Ahmad Dahlan Semarang,024-8446000
3374065, RS Umum Tk.III Bhakti Wira Tamtama Smg,"Jl. Dr. Sutomo No.17, Semarang",024-3555944
3374076,RS Umum Sultan Agung Semarang,"Jl. Raya Kaligawe Km.4,Semarang",024-6580019
3374080, RS Umum Roemani Muhammadiyah,"Jl. Wonodri 2 No. 22,Semarang",024-8444623
3374112, RS Umum Panti Wilasa Citarum,Jl. Citarum No 98 Semarang,(024) 3542224
3374123,RS Jiwa Daerah  Dr. Amino Gondohutomo,"Jl. Brigjen Sudiarto No. 347, Pedurungan, Kota Semarang",024-6722564
3374134,RS Umum Daerah Tugurejo Semarang,"Jl. WALISONGO KM 8,5 NO 137  Semarang",024-7605378
3374145,RS Umum Hermina Pandanaran,"Jl. Pandanaran No.24,Semarang",0248442525
3374203,RS Umum Bhayangkara Akpol Semarang ,Jl. Sultan Agung Candi Baru Komplek AKPOL,(024) 8502766
3374240,RS Panti Wilasa ,"Jl. Dr. Cipto 50, Bugangan, Semarang Timur",024-3546040
3374273, RS Ibu dan Anak Anugerah,"Jl. Kalisari Baru No.5-7,Semarang",024-8313543
3374284, RS Ibu dan Anak Bunda Semarang,Jl. Brigjen Katamso No. 8,024-8413060
3374316, RS Ibu dan Anak Gunung Sawo,"Jl. Gunung Sawo No.21,Semarang",8315171
3374331,RS Umum Banyumanik,"Jl. Bina Remaja Srondol No.61,Semarang",024-7471519
3374342, RS Umum Daerah K.R.M.T Wongsonegoro,Jl. Fatmawati Raya No.1,024-6711500
3374353, RS Ibu dan Anak Kusuma Pradja,"Jl. Bugangan Raya No.3 - 5,Semarang",3546355
3326011,RS Umum Daerah Kraton Kab. Pekalongan,"Jl. Veteran 31,Pekalongan",0285-421621
3375022,RS Umum Budi Rahayu,Jl. Barito No. 5 Pekalongan,0285-423491
3375033,RS Umum Siti Khodijah,"Jl. Bandung No.39-47,Pekalongan",0285422845
3375071,RS Umum Karomah Holistic,"Jl. Gajah Mada Barat No.124,Pekalongan",0285 420218
3376012, RS Umum Daerah Kardinah ,"Jl. KS Tubun No.2, Kota Tegal",0283-350377
3376023,RS Umum  Mitra Siaga,Jl. Pala Raya No.54 Tegal,0283-322550
3376034, RS Umum Tk.IV Tegal,Jl. RS DKT PAGONGAN TEGAL,0283351420
3376082,RS Umum Islam Harapan Anda,"Jl. Ababil No.42,Tegal",0283-358244
3376093, RS Ibu dan Anak Kasih Ibu Tegal,"Jl. Sultan Agung 32,Tegal",(0283) 355525
3401015,RS Umum Daerah Wates,Jl Tentara Pelajar Km.1 No.5 Wates Kulon Progo,0274-773169
3401026,RS Umum St Yusup Boro,Boro Banjarasri Kalibawang Kulon Progo,08112954885
3401037,RS Umum Rizki Amalia Medika,Jl raya Brosot - Wates Km.5 Jogahan Bumirejo Lendah Kulon Progo,085100494522
3402016,RS Umum Daerah Panembahan Senopati,Jl Dr. Wahidin Sudiro Husodo Bantul,0274 367381
3402020,RS Umum Santa Elisabeth,Ganjuran Sumbermulyo Bambanglipuro,0274-367502
3402031,RSU PKU Muhammadiyah Bantul,Jl Jenderal Sudirman 124 Bantul,0274-368238
3402042,RS Ibu Anak Ummi Khasanah,Jl Pemuda Ds Gandekan Bantul,0274367638
3402053,RS Umum Nur Hidayah,"Jl Imogiri Timur Km. 11,5 Trimulyo Jetis Bantul",085 100 472 941
3403010,RS Umum Daerah Wonosari,Jl Taman Bakti No. 06 Wonosari,0274-391007
3403021,RS Umum Nur Rohmah,"Jl Wonosari - Yogya Km. 7, Bandung, Playen, Gunungkidul",0274 394574
3404011,RS Umum Daerah Sleman,"Jl Bhayangkara 48 Triharjo Sleman Daerah Istimewa Yogyakarta, 55514",0274-868437
3404022,RS Jiwa Grhasia,Jl. Kaliurang Km. 17 Pakem Sleman DIY,0274-895143
3404033,RS Umum Panti Baktiningsih,"Klepu Sendangmulyo Minggir, Sleman",0274-6497209
3404070,RSK Bedah An-Nur,Jl. Colombo No. 14-16 Sleman Yogyakarta,0274585848
3404102,RS Umum Panti Rini,"Jl Solo Km 12,5 Krajan Tirtomartani Kalasan Sleman Yogyakarta",(0274)496022
3404124,RS Umum Panti Nugroho,"Jl. Kaliurang  Km.17 Pakem,Sleman",0274897231
3404135,RS Umum Dharma,"Jl Yogya-Wonosari KM. 8,5 Sleman Yogya",0274 444333
3404146,RS Islam Yayasan PDHI,"Jl Solo Km 12,5 Kalasan Yogyakarta",0274-498000
3404157,RS Umum Sakina Idaman,"Jl Nyi Condrolukito, Blunyah Gede 60, Sinduadi, Mlati, Sleman",0274-582039
3404015,RSUP Dr. Sardjito,Jl Kesehatan No.1 Sekip Yogyakarta,0274-587333
3471026,RS Islam Hidayatullah Yogyakarta,Jl Veteran No.184 Pandeyan Umbulharjo Yogyakarta,0274-389194
3471030,RS Tk. III 04.06.03 Dr. Soetarto,Jl Juwadi 19 Kotabaru Yogyakarta,(0274)555402
3471041,RS PKU Muhammadiyah Yogyakarta,Jl K.H. Ahmad Dahlan No. 20 Ngupasan Gondomanan Yogyakarta,0274-512653
3471052, RS Umum Panti Rapih,Jl. Cik Di Tiro 30 Yogyakarta,0274-514845
3471063,RS Bethesda Yogyakarta,Jl Jend. Sudirman No. 70 Kotabaru Yogyakarta,0274 586688
3471074,RSPAU Dr.  Suhardi Harjolukito,Jl. Raya Janti Blok O Yogyakarta,0274 444715
3471085,RS Khusus Jiwa Puri Nirmala,Jl Jayaningprangan No.13 Gunungketur Pakualaman Yogyakarta,515255
3471096,RS  Mata Dr. Yap,Jl Cik Di Tiro No. 5 Yogyakarta,0274-562054
3471223, RSU Bedah Patmasuri,Jln. KH. Ali Maksum Lapangan Krapyak Panggungharjo Sewon Bantul Yogyakarta,(0274) 372021
3471234,RS Umum Daerah Kota Yogyakarta,Jl Wirosaban No. 1 Yogyakarta,0274-371195
3471256,RS Khusus Ibu dan Anak Bhakti Ibu,Jl. Golo No.20 Yogyakarta,
3471282,RS Ludira Husada Tama,"Jl Wiratama 4 Tegalrejo, Yogyakarta","620091,620333"
3471293,RSK THT Sari Asih,Jl. Tirtodipuran No. 38 Yogya,387664
3471303,RS Khusus Ibu dan Anak 45 Prof. Dr. Ismangoen,Jl Patangpuluhan No. 35 Yogyakarta,0274376962
3471314,RSK THT Prof R Oepomo,Jl. Suryomentaraman 298 A Yogya,
3471325,RS Khusus Ibu dan Anak Permata Bunda,Jl Ngeksigondo No 56 Yogyakarta,0274-376092
3471336,RS Bethesda Lempuyangwangi,Jl Hayam Wuruk No.6 Yogyakarta,(0274) 588002
3471362,RS Khusus Gigi Mulut Prof. Soedomo FKG UGM,Jl. Sekip Utara Yogyakarta,0274-555312
